Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
3,86.95,6,173.2,17,481.31,0.0,0.0,27.69500776,0.0,Nov,2,2,9,20,New_Visitor,False
0,0.0,0,0.0,3,79.0,0.066666667,0.166666667,0.0,0.0,Mar,1,1,3,3,Returning_Visitor,False
10,247.15,3,788.0,111,2556.373335,0.000423729,0.00814597,2.514977953,0.0,Nov,2,2,1,3,Returning_Visitor,False
3,113.1,0,0.0,17,237.6066667,0.0,0.033333333,94.10360412,0.0,Oct,1,1,2,4,Returning_Visitor,False
3,183.0,0,0.0,190,6375.065753,0.00938918,0.020211611,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False
1,0.0,0,0.0,59,1669.940186,0.004137931,0.011611098,0.0,0.0,Dec,2,2,3,7,Returning_Visitor,True
5,54.0,0,0.0,4,13.0,0.028571429,0.057142857,0.0,0.8,May,2,2,3,4,New_Visitor,False
0,0.0,0,0.0,48,2492.166667,0.0,0.014583333,0.0,0.0,Nov,2,4,1,2,Returning_Visitor,False
0,0.0,0,0.0,27,910.0,0.007407407,0.011111111,0.0,0.0,Nov,4,2,1,3,New_Visitor,True
0,0.0,0,0.0,32,2787.75,0.00625,0.003125,0.0,0.0,Nov,1,1,1,2,New_Visitor,False
